請求ID,有無,作業内容,リスト化,対象,保護者ID,生徒ID,対象　契約ID,対象　請求ID,対象　同ブランド,対象　チケットID,対象カテゴリー,請求カテゴリー区分,金額,請求単位,税区分,複数個,繰り返し,自動請求,開始日,終了日,顧客表記用請求名（契約、請求IDの請求は、そのすぐ下に表記）,終了条件,社長のIF文用備考,請求申請者申請許可,返金時の注意,元請求月謝,登録日時,登録ユーザー,最終更新日時,最終更新ユーザー
AB0000003942,1,1,1,1,8215794,215803,24GYJ_1000247,24GYJ_1000247_61,アン進学ジム【中学部】,,入会時教材費,88,9000,円,1,,1,1,2026/01/01,2026/01/31,入会時_【教材費】 中3 教材（3月・9月）,１回だけ,,,,2026/01/01,2025-12-17 05:46:09.132958,ひでお 行徳,2025-12-17 05:46:09.132958,ひでお 行徳
AB0000003941,1,1,1,1,8215794,215803,24GYJ_1000247,24GYJ_1000247_50,アン進学ジム【中学部】,,入会時授業料A,85,18000,円,1,,1,1,2026/01/01,2026/01/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,2026/01/01,2025-12-17 05:46:09.132958,ひでお 行徳,2025-12-17 05:46:09.132958,ひでお 行徳
AB0000003939,1,1,1,1,8400189,222366,24GYJ_1000247,24GYJ_1000247_50,アン進学ジム【中学部】,,入会時授業料A,85,18000,円,1,,1,1,2026/01/01,2026/01/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,2026/01/01,2025-12-16 07:23:50.260005,ひでお 行徳,2025-12-16 07:23:50.260005,ひでお 行徳
AB0000003940,1,1,1,1,8400189,222366,24GYJ_1000247,24GYJ_1000247_61,アン進学ジム【中学部】,,入会時教材費,88,9000,円,1,,1,1,2026/01/01,2026/01/31,入会時_【教材費】 中3 教材（3月・9月）,１回だけ,,,,2026/01/01,2025-12-16 07:23:50.260005,ひでお 行徳,2025-12-16 07:23:50.260005,ひでお 行徳
NB7073928,1,1,1,1,8400200,222379,24GOK_1000002,24GOK_1000002_62,アン合格サクセス,,入会時総合指導管理費,89,8000,円,1,,1,1,2026/01/01,2026/01/31,入会時_当月分【総合指導管理費】,１回だけ,,,,,2025-12-08 13:37:08.041949,Yamada Tarō,2025-12-08 13:37:08.041949,Yamada Tarō
NB5453521,1,1,1,1,8400200,222379,24INT_1000006,24INT_1000006_61,アンインターナショナル,,入会時教材費,88,11000,円,3,,1,1,2026/01/01,2026/01/31,入会時_【教材費】（4月・10月）,１回だけ,,,,,2025-12-08 13:30:42.85501,Yamada Tarō,2025-12-08 13:30:42.85501,Yamada Tarō
NB2750693,1,1,1,1,8400200,222379,24INT_1000006,24INT_1000006_61,アンインターナショナル,,入会時教材費,88,11000,円,3,,1,1,2026/01/01,2026/01/31,入会時_【教材費】（4月・10月）,１回だけ,,,,,2025-12-08 13:25:08.590995,Yamada Tarō,2025-12-08 13:25:08.590995,Yamada Tarō
NB9969510,1,1,1,1,8400200,222379,24CLB_1000102,24CLB_1000102_61,アン算国クラブ（準拠）,,入会時教材費,88,2000,円,1,,1,1,2026/01/01,2026/01/31,入会時_【教材費】 算数,１回だけ,,,,,2025-12-04 17:01:10.029193,Yamada Tarō,2025-12-04 17:01:10.029193,Yamada Tarō
NB6226229,1,1,1,1,8400200,222379,24GOK_1000531,24GOK_1000531_62,アン合格サクセス,,入会時総合指導管理費,89,5000,円,1,,1,1,2026/01/01,2026/01/31,入会時_当月分【総合指導管理費】,１回だけ,,,,,2025-12-04 16:52:47.363394,Yamada Tarō,2025-12-04 16:52:47.363394,Yamada Tarō
NB4327670,1,1,1,1,8110423,215261,24SOR_1000007,24SOR_1000007_60,アンそろばんクラブ,,入会時教材費,88,2000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】 半年払い（4月・10月）,１回だけ,,,,,2025-11-19 10:14:33.136585,酒井 真由美,2025-11-19 10:14:33.136585,酒井 真由美
NB7327163,1,1,1,1,8400195,222373,24AEC_1000020,24AEC_1000020_50,アンイングリッシュクラブ,,入会時授業料A,85,12800,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,,2025-11-19 08:26:17.232691,,2025-11-19 08:26:17.232691,
NB8621479,1,1,1,1,8400197,222375,24SOR_1000007,24SOR_1000007_50,アンそろばんクラブ,,入会時授業料A,85,6300,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,,2025-11-11 14:05:00.922076,,2025-11-11 14:05:00.922076,
NB4447700,1,1,1,1,8110423,212115,24SOR_1000038,24SOR_1000038_60,アンそろばんクラブ,,入会時教材費,88,2000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】 半年払い（4月・10月）,１回だけ,,,,,2025-11-11 06:53:03.733542,酒井 真由美,2025-11-11 06:53:03.733542,酒井 真由美
NB8922300,1,1,1,1,8400189,222365,24CSE_1000009,24CSE_1000009_50,SEEDS 小学部,,入会時授業料A,85,12000,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,,2025-11-10 14:32:51.938462,Rodrigues Lucas,2025-11-10 14:32:51.938462,Rodrigues Lucas
AB0000003916,1,1,1,2,8220003,220004,,,その他,,1,0,960,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分アフター,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003915,1,1,1,2,8212689,219683,,,その他,,1,0,200,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分お茶代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003914,1,1,1,2,8204078,219682,,,その他,,1,0,200,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分お茶代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003913,1,1,1,2,8222826,222827,,,その他,,1,0,300,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分お茶代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003912,1,1,1,2,8215784,215785,,,その他,,1,0,100,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分お茶代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003911,1,1,1,2,8201302,215711,,,その他,,1,0,100,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分お茶代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003910,1,1,1,2,8207870,215698,,,その他,,1,0,30,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分マスク代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003909,1,1,1,2,8207870,215698,,,その他,,1,0,120,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分ビフォー ,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003908,1,1,1,2,8200986,215686,,,その他,,1,0,120,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分ビフォー ,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003907,1,1,1,2,8214094,215114,,,その他,,1,0,120,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分ビフォー,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003906,1,1,1,2,8102522,212448,,,その他,,1,0,100,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分お茶代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003905,1,1,1,2,8211220,211221,,,その他,,1,0,700,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分お茶代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003904,1,1,1,2,8208245,208246,,,その他,,1,0,30,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分マスク代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003903,1,1,1,2,8208245,208246,,,その他,,1,0,120,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分ビフォー,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003902,1,1,1,2,8207993,219691,,,その他,,1,0,100,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分お茶代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003901,1,1,1,2,8207993,207994,,,その他,,1,0,100,円,1,,1,0,2025/12/01,2025/12/31,【10月分】アンまなびワールド10月分お茶代,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
