生徒ID,保護者ID,契約ID,契約ID_存在,請求ID,請求ID_存在,金額,開始日,顧客表記用請求名
220004,8220003,,×,,×,960,2025/12/01,【10月分】アンまなびワールド10月分アフター
219683,8212689,,×,,×,200,2025/12/01,【10月分】アンまなびワールド10月分お茶代
219682,8204078,,×,,×,200,2025/12/01,【10月分】アンまなびワールド10月分お茶代
222827,8222826,,×,,×,300,2025/12/01,【10月分】アンまなびワールド10月分お茶代
215785,8215784,,×,,×,100,2025/12/01,【10月分】アンまなびワールド10月分お茶代
215711,8201302,,×,,×,100,2025/12/01,【10月分】アンまなびワールド10月分お茶代
215698,8207870,,×,,×,30,2025/12/01,【10月分】アンまなびワールド10月分マスク代
215698,8207870,,×,,×,120,2025/12/01,【10月分】アンまなびワールド10月分ビフォー 
215686,8200986,,×,,×,120,2025/12/01,【10月分】アンまなびワールド10月分ビフォー 
215114,8214094,,×,,×,120,2025/12/01,【10月分】アンまなびワールド10月分ビフォー
212448,8102522,,×,,×,100,2025/12/01,【10月分】アンまなびワールド10月分お茶代
211221,8211220,,×,,×,700,2025/12/01,【10月分】アンまなびワールド10月分お茶代
208246,8208245,,×,,×,30,2025/12/01,【10月分】アンまなびワールド10月分マスク代
208246,8208245,,×,,×,120,2025/12/01,【10月分】アンまなびワールド10月分ビフォー
219691,8207993,,×,,×,100,2025/12/01,【10月分】アンまなびワールド10月分お茶代
207994,8207993,,×,,×,100,2025/12/01,【10月分】アンまなびワールド10月分お茶代
207994,8207993,,×,,×,1080,2025/12/01,【10月分】アンまなびワールド10月分アフター
219691,8207993,,×,,×,1080,2025/12/01,【10月分】アンまなびワールド10月分アフター
219691,8207993,,×,,×,2040,2025/12/01,【10月分】アンまなびワールド10月分ビフォー
207994,8207993,,×,,×,2040,2025/12/01,【10月分】アンまなびワールド10月分ビフォー
207891,8207890,,×,,×,120,2025/12/01,【10月分】アンまなびワールド10月分ビフォー
207869,8200940,,×,,×,300,2025/12/01,【10月分】アンまなびワールド10月分お茶代
204749,8204748,,×,,×,100,2025/12/01,【10月分】アンまなびワールド10月分お茶代
201581,8201580,,×,,×,120,2025/12/01,【10月分】アンまなびワールド10月分ビフォー
215684,8200755,,×,,×,120,2025/12/01,【10月分】アンまなびワールド10月分ビフォー
200815,8200755,,×,,×,120,2025/12/01,【10月分】アンまなびワールド10月分ビフォー
222516,8222470,,×,,×,4200,2025/12/01,【必須模試代】10月分　全県模試代
222492,8222452,,×,,×,4200,2025/12/01,【必須模試代】10月分　全県模試代
222472,8222439,,×,,×,4200,2025/12/01,【必須模試代】10月分　全県模試代
222484,8222445,,×,,×,4200,2025/12/01,【必須模試代】10月分　全県模試代
222475,8222441,,×,,×,4200,2025/12/01,【必須模試代】10月分　全県模試代
222488,8222449,,×,,×,4200,2025/12/01,【必須模試代】10月分　全県模試代
221928,8221926,,×,,×,4000,2025/12/01,【授業料_11月追加分】11月週１→３へ変更の為の差額分
2222581,8401612,,×,,×,8000,2025/12/01,アン進学ジム中学部【必須テスト対策費】中2  進学ジム 2Days Free
220980,8220979,,×,,×,1500,2025/12/01,【2025年10月実施】漢検10級検定料
16131,8112440,,×,,×,2000,2025/12/01,【授業料_11月分追加分】11月から週1→週2に変更の為差額分
204784,8204783,,×,,×,18000,2025/12/01,【11月分_アンまなびワールド【授業料】送迎付き学童カルチャーパック週1回
204784,8204783,,×,,×,18000,2025/12/01,【10月分_アンまなびワールド【授業料】送迎付き学童カルチャーパック週1回
223435,8223434,,×,,×,20000,2025/12/01,アンインターナショナル【入会金】
223466,8216019,,×,,×,7600,2025/12/01,アンインターナショナル【お弁当代_9月分】《400円×19個》
206384,8206383,,×,,×,12000,2025/12/01,日本習字認定証4通
211401,8111228,,×,,×,200,2025/12/01,アン進学ジム小学部【月会費】（11月差額分）
211401,8111228,,×,,×,3000,2025/12/01,アン進学ジム小学部【授業料】小4 進学ジム 週1コマ（11月差額分）
205467,8205027,,×,,×,800,2025/12/01,座席確保休会登録の為【12月分】
205467,8205027,,×,,×,800,2025/12/01,座席確保休会登録の為【11月分】
222694,8222692,,×,,×,8000,2025/12/01,【８月未請求分】アンまなびワールド夏期講習費
222226,8222202,,×,,×,8000,2025/12/01,【8月未請求分】アンまなびワールド夏期講習費
223752,8223747,,×,,×,500,2025/12/01,11月分 カルチャー【設備費】
222808,8222804,,×,,×,2908,2025/12/01,入会時_当月分【授業料】(前払い制の為) _ ２回分
219512,8219511,,×,,×,6600,2025/12/01,月会費2025年9月～11月分
221796,8221326,,×,,×,1000,2025/12/01,11月授業料【硬筆】1:3マンツー  週1コマ ぽっきり価格
201114,8201112,,×,,×,8000,2025/12/01,アン進学ジム中学部【必須テスト対策費】中2  進学ジム 2Days Free
222827,8222826,,×,,×,9000,2025/12/01,【11月分】アンまなびワールド11月分カルチャー放題
14276,8111073,,×,,×,1000,2025/12/01,ぞろばん取得級証明書
,8200549,,×,,×,3000,2025/12/01,FS割引
16660,8112844,,×,,×,1500,2025/12/01,11月休会のため11月度割引分
216816,8216769,,×,,×,17000,2025/12/01,【チケット_追加】アンインターナショナル《ゼブラレギュラー３回》
212243,8212241,,×,,×,2500,2025/12/01,【2025年10月実施】漢検準2級検定料
15033,8111635,,×,,×,2500,2025/12/01,【2025年10月実施】漢検3級検定料
221398,8221394,,×,,×,1000,2025/12/01,アンそろばんクラブ【11月_授業料】そろばん30分_1：5マンツー 週1コマ ぽっきり価格 (税別)
222142,8222141,,×,,×,1500,2025/12/01,【2025年10月実施】漢検9級検定料
221396,8221394,,×,,×,1000,2025/12/01,アンそろばんクラブ【11月_授業料】そろばん30分_1：5マンツー 週1コマ ぽっきり価格 (税別)
205044,8205043,,×,,×,500,2025/12/01,そろばん11月設備費11月復会のため
205044,8205043,,×,,×,700,2025/12/01,そろばん11月月会費11月復会のため
205044,8205043,,×,,×,3500,2025/12/01,そろばん11月授業料11月復会のため
2222510,8889369,,×,,×,500,2025/12/01,10月度教材費（10/21入会へ変更）
2222510,8889369,,×,,×,500,2025/12/01,10月度設備費（10/21入会へ変更）
2222510,8889369,,×,,×,700,2025/12/01,10月度月会費（10/21入会へ変更）
2222510,8889369,,×,,×,2120,2025/12/01,10月度2回分授業料（10/21入会へ変更）
2222481,8889283,,×,,×,500,2025/12/01,【11月分_設備費】カルチャー【設備費】
2222513,8889283,,×,,×,500,2025/12/01,【11月分_設備費】カルチャー【設備費】
8112137,8112137,,×,,×,6000,2025/12/01,Purpleクラス教材費
216284,8216283,,×,,×,4000,2025/12/01,アンそろばんクラブ【授業料】30分_1：5→50分_1：5 週1コマ差額分(￥2000×10月・11月分) (税別)
220477,8220474,,×,,×,4000,2025/12/01,アンそろばんクラブ【授業料】30分_1：5→50分_1：5 週1コマ差額分(￥2000×10月・11月分)
223313,8223084,,×,,×,3000,2025/11/01,8月月謝未計上分
223778,8205651,,×,,×,8000,2025/11/01,入会時_【教材費】White
16185,8112483,,×,,×,2500,2025/11/01,【2025年10月実施】漢検受験料4級
213122,8213120,,×,,×,2500,2025/11/01,【2025年10月実施】漢検受験料4級
15946,8112324,,×,,×,2000,2025/11/01,【2025年10月実施】漢検受験料7級
219699,8219698,,×,,×,2500,2025/11/01,【2025年10月実施】漢検受験料3級
7478,8100396,,×,,×,2500,2025/11/01,【2025年10月実施】漢検受験料準２級 
211953,8211951,,×,,×,2000,2025/11/01,【2025年10月実施】漢検受験料6級
14376,8111146,,×,,×,2500,2025/11/01,【2025年10月実施】漢検受験料準２級 
204394,8204252,,×,,×,2500,2025/11/01,【2025年10月実施】漢検受験料3級
218504,8218477,,×,,×,2500,2025/11/01,【2025年10月実施】漢検受験料3級
210696,8210653,,×,,×,1500,2025/11/01,【2025年10月実施】漢検受験料9級 
206801,8206800,,×,,×,2500,2025/11/01,【2025年10月実施】漢検受験料準２級 
221035,8219447,,×,,×,1500,2025/11/01,【2025年10月実施】漢検受験料9級 
215609,8215608,,×,,×,2000,2025/11/01,【2025年10月実施】漢検受験料7級
206952,8206891,,×,,×,2000,2025/11/01,【2025年10月実施】漢検受験料6級
206938,8203930,,×,,×,2000,2025/11/01,【2025年10月実施】漢検受験料7級
213121,8213120,,×,,×,2500,2025/11/01,【2025年10月実施】漢検受験料4級
