生徒ID,保護者ID,契約ID,請求ID,ブランド,金額,開始日,顧客表記用請求名
8112137,8112137,,,その他,6000,2025/12/01,Purpleクラス教材費
8202730,8202730,24AEC_1000009,24AEC_1000009_6,アンイングリッシュクラブ,0,2025/11/01,アンイングリッシュクラブ【バッグ】初回プレゼント
8202730,8202730,24AEC_1000009,24AEC_1000009_60,アンイングリッシュクラブ,6000,2025/11/01,入会時_【教材費】Yellow
8202730,8202730,24AEC_1000009,24AEC_1000009_50,アンイングリッシュクラブ,5980,2025/11/01,入会時_当月分【授業料ALL】(前払い制の為)
8202730,8202730,24AEC_1000009,24AEC_1000009_55,アンイングリッシュクラブ,500,2025/11/01,入会時_当月分_カルチャー【設備費】
8202730,8202730,24AEC_1000009,24AEC_1000009_54,アンイングリッシュクラブ,1000,2025/11/01,入会時_当月分【月会費】
8220920,8220920,,,その他,1000,2025/11/01,プログラミング教材代
8213693,8213693,,,その他,4200,2025/11/01,【模試代】10月25日実施　全県模試代
8215721,8215721,,,その他,8000,2025/10/01,アンイングリッシュクラブ【教材費】10月価格適用
8111613,8111613,,,その他,7000,2025/10/01,９月分月謝差額
8202170,8202170,,,その他,8000,2025/10/01,ム中学部【授業料_9月分】1day→2daysへ変更による不足分 (税別)
222984,8222953,,,アン美文字クラブ,3200,2025/09/01,アン美文字クラブ_夏期講習_4コマ
8217271,8217271,,,その他,3500,2025/09/01,アン将棋クラブ夏期講習会（4コマ）
8207259,8207259,,,その他,4800,2025/09/01,アンプログラミングクラブ【選択講習会】プログラミング夏期講習  プログラミング生4コマ (税別)
8222086,8222086,,,その他,4800,2025/09/01,アンプログラミングクラブ【選択講習会】プログラミング夏期講習  プログラミング生4コマ (税別)
222984,8222953,,,その他,4800,2025/09/01,	アンプログラミングクラブ【夏期講習会】アングループ生_4コマ
222981,8222980,24SOR_1000005,24SOR_1000005_7,アンそろばんクラブ,0,2025/09/01,アンそろばんクラブ【バッグ】初回プレゼント
222981,8222980,24SOR_1000005,24SOR_1000005_55,アンそろばんクラブ,500,2025/09/01,入会時_当月分_カルチャー【設備費】
222981,8222980,24SOR_1000005,24SOR_1000005_54,アンそろばんクラブ,700,2025/09/01,入会時_当月分【月会費】
222981,8222980,24SOR_1000005,24SOR_1000005_6,アンそろばんクラブ,5000,2025/09/01,アンそろばんクラブ【入会金】
222981,8222980,24SOR_1000005,24SOR_1000005_53,アンそろばんクラブ,3180,2025/09/01,入会時_当月分【授業料】(前払い制の為) _ ３回分
222981,8222980,24SOR_1000005,24SOR_1000005_8,アンそろばんクラブ,0,2025/09/01,アンそろばんクラブ【本体代】初回プレゼント
222981,8222980,24SOR_1000005,24SOR_1000005_60,アンそろばんクラブ,1000,2025/09/01,入会時_【教材費】 半年払い（4月・10月）
8213693,8213693,,,その他,4200,2025/08/01,【模試代】8月29日実施　全県模試代
221842,8200520,,,漢字検定,1500,2025/07/01,【2025年6月実施】漢検9級検定料
8216905,8216905,,,その他,1000,2025/07/01,6月分_Whiteクラス回数変更により過不足分
8104906,8104906,,,その他,6000,2025/07/01,4・5・6月学習塾（進学ジム）請求不足分
8212160,8212160,,,その他,1200,2025/05/01,アンインターナショナル【お弁当代_2・4月分】《400円×3個》
8212160,8212160,,,その他,3000,2025/05/01,"アンインターナショナル【月謝_社員割引_2・4月分追加】《2/12,26,4/10出席分》1,000円×3日"
8205308,8205308,,,その他,400,2025/05/01,アンインターナショナル【お弁当代_3月分】《400円×1個》
8205308,8205308,,,その他,14000,2025/05/01,アンインターナショナルスクール【チケット_追加】60分×10枚
8217982,8217982,,,その他,12000,2025/04/01,アン進学ジム中学部【教材費】 中1 教材（4月・9月） (税別)
8217982,8217982,,,その他,9800,2025/04/01,アン進学ジム中学部【必須講習会】中1  春期講習  ALLフリー (税別)
8216168,8216168,,,その他,1000,2025/04/01,【設備費_3月分】マンツーマン学院【設備費】マンツー1：2【個別】高2  週1コマ (税別)
8216168,8216168,,,その他,2700,2025/04/01,【月会費_3月分】マンツーマン学院【月会費】マンツー1：2【個別】高2  週1コマ (税別)
8216168,8216168,,,その他,8000,2025/04/01,【授業料_3月分】マンツーマン学院【授業料】マンツー1：2【個別】高2  週1コマ (税別)
8219689,8219689,,,その他,4800,2025/04/01,アンさんこくキッズ【教材費】 2教科セット（4月・8月・12月） (税別)
